Team,Name,Age,G,GS,MP,FG,FGpct,threeP,threePpct,twoP,twoPpct,eFGpct,FT,FTpct,ORB,DRB,AST,STL,BLK,TOV,Pfoul,PTSperG,PG,PF,SG,SF,C,Exp,Salary
IND,Malcolm Brogdon,27,54,54,30.9,6,0.438,1.4,0.326,4.6,0.488,0.489,3.1,0.892,0.9,4,7.1,0.6,0.2,2.4,1.8,16.5,1,0,0,0,0,3,20000000
IND,Myles Turner,23,62,62,29.5,4.3,0.457,1.4,0.344,2.9,0.54,0.53,2,0.751,1.4,5.2,1.2,0.7,2.1,1.4,2.7,12.1,0,0,0,0,1,4,18000000
IND,Jeremy Lamb,27,46,42,28.1,4.7,0.451,1.2,0.335,3.5,0.508,0.506,2,0.836,0.5,3.8,2.1,1.2,0.5,1.1,2.3,12.5,0,0,1,0,0,7,10500000
IND,Victor Oladipo,27,19,16,27.8,5.1,0.394,1.7,0.317,3.4,0.451,0.461,2.5,0.814,0.5,3.5,2.9,0.9,0.2,2.5,1.9,14.5,0,0,1,0,0,6,21000000
IND,Justin Holiday,30,73,6,25,2.8,0.428,1.8,0.405,1,0.477,0.566,0.7,0.791,0.4,2.8,1.3,1.2,0.6,0.6,1.9,8.3,0,0,0,1,0,6,4767000
IND,Aaron Holiday,23,66,33,24.5,3.5,0.414,1.3,0.394,2.2,0.427,0.491,1.1,0.851,0.3,2,3.4,0.8,0.2,1.3,1.8,9.5,1,0,0,0,0,1,2239200
IND,Doug McDermott,28,69,0,19.9,3.9,0.488,1.9,0.435,2,0.549,0.605,0.7,0.828,0.4,2.1,1.1,0.2,0.1,0.6,1.7,10.3,0,1,0,0,0,5,7333334
IND,T.J. McConnell,27,71,3,18.7,3,0.516,0.1,0.294,2.9,0.525,0.522,0.5,0.833,0.5,2.1,5,0.8,0.2,1.4,1,6.5,1,0,0,0,0,4,3500000
IND,Edmond Sumner,24,31,3,14.4,2,0.43,0.5,0.264,1.5,0.528,0.479,0.5,0.552,0.4,1.1,1.8,0.5,0.3,0.7,1.4,4.9,0,0,1,0,0,2,2000000
IND,JaKarr Sampson,26,34,12,13.9,2,0.591,0.1,0.154,1.9,0.647,0.6,0.5,0.667,0.6,2,0.6,0.5,0.4,0.4,1.9,4.6,0,1,0,0,0,4,1737145
IND,Goga Bitadze,20,54,2,8.7,1.3,0.467,0.1,0.19,1.1,0.574,0.493,0.4,0.727,0.5,1.5,0.4,0.2,0.7,0.5,1.2,3.2,0,0,0,0,1,0,2816760
IND,T.J. Leaf,22,28,1,7.9,1.3,0.419,0.2,0.278,1.1,0.456,0.448,0.3,0.438,0.8,1.7,0.3,0.4,0.1,0.3,0.8,3,0,1,0,0,0,2,2813280
IND,Alize Johnson,23,17,1,6.9,0.7,0.414,0.2,0.375,0.5,0.429,0.466,0.4,0.7,0.9,1.9,0.4,0.2,0.1,0.4,0.7,2,0,1,0,0,0,1,1416852
MIA,Jimmy Butler,30,58,58,33.8,5.9,0.455,0.5,0.244,5.4,0.495,0.474,7.6,0.834,1.8,4.8,6,1.8,0.6,2.2,1.4,19.9,0,0,0,1,0,8,32742000
MIA,Bam Adebayo,22,72,72,33.6,6.1,0.557,0,0.143,6.1,0.564,0.558,3.7,0.691,2.4,7.8,5.1,1.1,1.3,2.8,2.5,15.9,0,1,0,0,0,2,3454080
MIA,Justise Winslow,23,11,5,32,4.5,0.388,0.5,0.222,4,0.431,0.411,1.6,0.667,1.5,5.2,4,0.6,0.5,2.2,3.5,11.3,0,0,1,0,0,4,13000000
MIA,Duncan Robinson,25,73,68,29.7,4.4,0.47,3.7,0.446,0.7,0.654,0.667,0.9,0.931,0.1,3,1.4,0.5,0.3,1,2.6,13.5,0,0,1,0,0,1,1416852
MIA,Kendrick Nunn,24,67,67,29.3,6,0.439,2,0.35,3.9,0.505,0.514,1.3,0.85,0.3,2.4,3.3,0.8,0.2,1.7,2.3,15.3,1,0,0,0,0,0,1416852
MIA,Goran Dragić,33,59,3,28.2,5.4,0.441,2.1,0.367,3.3,0.505,0.526,3.2,0.776,0.5,2.7,5.1,0.7,0.2,2.4,2.1,16.2,1,0,0,0,0,11,19217900
MIA,Jae Crowder,29,20,8,27.7,4,0.482,2.9,0.445,1.1,0.611,0.655,1.1,0.733,0.6,4.8,1.8,1.3,0.5,0.8,2.9,11.9,0,0,0,1,0,7,7815533
MIA,Tyler Herro,20,55,8,27.4,4.9,0.428,2.1,0.389,2.8,0.462,0.52,1.6,0.87,0.3,3.8,2.2,0.6,0.2,1.6,1.4,13.5,0,0,1,0,0,0,3640200
MIA,Meyers Leonard,27,51,49,20.3,2.3,0.509,1,0.414,1.3,0.623,0.622,0.4,0.643,0.6,4.5,1.1,0.3,0.3,0.8,2.1,6.1,0,0,0,0,1,7,11286515
MIA,Andre Iguodala,36,21,0,19.9,1.8,0.432,0.7,0.298,1.1,0.585,0.511,0.3,0.4,0.8,2.9,2.4,0.7,1,1.2,1.7,4.6,0,0,0,1,0,15,17185185
MIA,Kelly Olynyk,28,67,9,19.4,2.7,0.462,1.4,0.406,1.3,0.543,0.582,1.3,0.86,0.7,3.9,1.7,0.7,0.3,1.1,2.6,8.2,0,0,0,0,1,6,11667885
MIA,Solomon Hill,28,11,1,17,1.3,0.311,0.6,0.292,0.6,0.333,0.389,1.3,0.875,0.5,1.5,0.9,1.1,0.5,1,1.1,4.5,0,1,0,0,0,6,12758781
MIA,James Johnson,32,18,0,15.6,2.2,0.448,0.9,0.356,1.3,0.548,0.54,0.4,0.571,0.4,2.4,1.2,0.3,0.7,0.8,1.9,5.7,0,0,0,0,1,10,15349400
MIA,Dion Waiters,28,3,0,14,3.3,0.385,2.7,0.471,0.7,0.222,0.538,0,0,0,3.7,1,0,0.7,1,1.7,9.3,0,0,1,0,0,7,503656
MIA,Udonis Haslem,39,4,1,11,1,0.364,0.3,0.333,0.8,0.375,0.409,0.8,0.75,0.3,3.8,0.3,0,0,0.3,1.5,3,0,0,0,0,1,16,2564753
MIA,Chris Silva,23,44,0,7.9,1.1,0.615,0,0,1.1,0.64,0.615,0.8,0.673,1.4,1.5,0.5,0.2,0.5,0.7,1.9,3,0,1,0,0,0,0,466918
MIA,KZ Okpala,20,5,0,5.2,0.6,0.6,0,0,0.6,0.75,0.6,0.2,0.5,0.2,0.8,0.2,0.4,0.2,0.2,0.4,1.4,0,1,0,0,0,0,898310
PHI,Ben Simmons,23,57,57,35.4,6.6,0.58,0,0.286,6.5,0.583,0.581,3.2,0.621,2,5.8,8,2.1,0.6,3.5,3.3,16.4,1,0,0,0,0,2,8113930
PHI,Tobias Harris,27,72,72,34.3,7.7,0.471,1.8,0.367,5.9,0.517,0.527,2.4,0.806,1,5.9,3.2,0.7,0.6,1.4,2.3,19.6,0,1,0,0,0,8,32742000
PHI,Josh Richardson,26,55,53,30.8,5.1,0.43,1.5,0.341,3.5,0.486,0.496,2.1,0.809,0.7,2.4,2.9,0.9,0.7,1.9,2.5,13.7,0,0,1,0,0,4,10116576
PHI,Al Horford,33,67,61,30.2,4.8,0.45,1.5,0.35,3.3,0.516,0.52,0.9,0.763,1.5,5.3,4,0.8,0.9,1.2,2.1,11.9,0,0,0,0,1,12,28000000
PHI,Joel Embiid,25,51,51,29.5,7.5,0.477,1.1,0.331,6.4,0.517,0.512,6.9,0.807,2.8,8.9,3,0.9,1.3,3.1,3.4,23,0,0,0,0,1,3,27504630
PHI,Furkan Korkmaz,22,72,12,21.7,3.4,0.43,2,0.402,1.4,0.478,0.557,1.1,0.755,0.3,2.1,1.1,0.6,0.2,0.8,1.4,9.8,0,0,1,0,0,2,1620564
PHI,Alec Burks,28,18,1,20.2,4.3,0.461,1.8,0.416,2.5,0.5,0.557,1.9,0.829,0.6,2.5,2.1,0.7,0,0.8,1.2,12.2,0,0,0,1,0,8,2320044
PHI,Shake Milton,23,40,24,20.1,3.4,0.484,1.5,0.43,1.9,0.535,0.588,1.3,0.785,0.4,1.8,2.6,0.5,0.2,1.2,2.3,9.4,0,0,1,0,0,1,1445697
PHI,Matisse Thybulle,22,65,14,19.8,1.7,0.423,0.9,0.357,0.9,0.519,0.528,0.4,0.61,0.7,1,1.2,1.4,0.7,0.8,2.2,4.7,0,0,1,0,0,0,2582160
PHI,Mike Scott,31,68,11,17.8,2.2,0.426,1.2,0.369,1,0.519,0.54,0.4,0.811,1,2.7,0.8,0.3,0.1,0.4,1.4,6,0,1,0,0,0,7,4767000
